1705,7807,86
545,1384,87
5,1490,92
9664,3058,93
9664,673,93
3058,673,93
189,1098,95
189,2761,95
1098,2761,95
31122,31285,81040
31122,32323,81040
31122,3180,81040
31285,32323,81040
31285,3180,81040
32323,3180,81040
32325,1494,81043
650,11808,81048
650,32328,81048
11808,32328,81048
4905,14945,81052
1045,3261,98267
2354,7638,98268
5282,40906,98272
5282,11854,98272
5282,40907,98272
5282,32584,98272
5282,16969,98272
40906,11854,98272
40906,40907,98272
40906,32584,98272
40906,16969,98272
11854,40907,98272
11854,32584,98272
11854,16969,98272
40907,32584,98272
40907,16969,98272
32584,16969,98272
292,5234,525
292,11480,525
5234,11480,525
137,46210,15
1594,1280,17
1594,1571,17
1280,1571,17
740,6060,21
458,8955,22
230,44887,39
14856,14857,51
1015,75558,52
38,2164,56
740,15944,61
26,2688,64
26,2616,64
26,3103,64
2688,2616,64
2688,3103,64
2616,3103,64
128,49341,66
849,3092,68
849,8979,68
3092,8979,68
1705,3119,110
7807,3119,110
550,220,111
550,1408,111
220,1408,111
10,10360,121
1072,15403,127
5,2138,131
5,1391,131
2138,1391,131
298,3103,133
298,1695,133
3103,1695,133
95,9739,142
93,2539,147
93,2128,147
93,1235,147
2539,2128,147
2539,1235,147
2128,1235,147
97,2333,156
1619,2616,157
1619,3197,157
2616,3197,157
1570,10260,168
440,10297,173
674,9665,174
674,675,174
9665,675,174
175,2521,200
96,2138,215
1604,15573,220
1604,3097,220
15573,3097,220
431,8955,221
886,826,224
886,1467,224
826,1467,224
628,1617,227
628,2616,227
1617,2616,227
230,2569,229
712,94,230
712,97,230
712,105,230
712,112,230
712,127,230
712,710,230
712,16,230
712,2131,230
712,1467,230
712,1611,230
712,1997,230
94,97,230
94,105,230
94,112,230
94,127,230
94,710,230
94,16,230
94,2131,230
94,1467,230
94,1611,230
94,1997,230
97,105,230
97,112,230
97,127,230
97,710,230
97,16,230
97,2131,230
97,1467,230
97,1611,230
97,1997,230
105,112,230
105,127,230
105,710,230
105,16,230
105,2131,230
105,1467,230
105,1611,230
105,1997,230
112,127,230
112,710,230
112,16,230
112,2131,230
112,1467,230
112,1611,230
112,1997,230
127,710,230
127,16,230
127,2131,230
127,1467,230
127,1611,230
127,1997,230
710,16,230
710,2131,230
710,1467,230
710,1611,230
710,1997,230
16,2131,230
16,1467,230
16,1611,230
16,1997,230
2131,1467,230
2131,1611,230
2131,1997,230
1467,1611,230
1467,1997,230
1611,1997,230
224,3282,247
224,228,247
3282,228,247
954,1651,250
129,46174,261
16,10128,265
16,29415,265
10128,29415,265
1571,1724,278
1571,5234,278
1571,1844,278
1724,5234,278
1724,1844,278
5234,1844,278
17,1466,282
782,1563,285
177,3172,298
190,1414,302
190,10182,302
1414,10182,302
204,2080,305
314,2887,312
1418,2557,314
848,15623,329
848,2119,329
848,33724,329
848,63852,329
15623,2119,329
15623,33724,329
15623,63852,329
2119,33724,329
2119,63852,329
33724,63852,329
303,1390,341
297,11480,342
73,13179,343
160,26739,350
86,2963,354
86,25620,354
2963,25620,354
30,2788,365
30,3099,365
30,2503,365
30,3101,365
2788,3099,365
2788,2503,365
2788,3101,365
3099,2503,365
3099,3101,365
2503,3101,365
30,1386,366
30,494,366
30,6015,366
30,44589,366
30,62580,366
1386,2788,366
1386,3099,366
1386,494,366
1386,6015,366
1386,44589,366
1386,62580,366
2788,494,366
2788,6015,366
2788,44589,366
2788,62580,366
3099,494,366
3099,6015,366
3099,44589,366
3099,62580,366
494,6015,366
494,44589,366
494,62580,366
6015,44589,366
6015,62580,366
44589,62580,366
91,5880,367
97,1500,376
97,224,376
1500,224,376
98,39,377
98,15429,377
39,15429,377
101,59046,380
103,2123,382
103,499,382
2123,499,382
63,2869,384
63,2326,384
2869,2326,384
105,558,385
105,2043,385
105,8979,385
105,15558,385
558,2043,385
558,8979,385
558,15558,385
2043,8979,385
2043,15558,385
8979,15558,385
2214,62671,388
2214,30789,398
2214,3355,398
2214,44971,398
2214,15866,398
30789,3355,398
30789,44971,398
30789,15866,398
3355,44971,398
3355,15866,398
44971,15866,398
110,2688,400
122,1424,416
122,1432,416
1424,1432,416
141,1339,426
137,135,427
137,25470,427
135,25470,427
88,14561,429
1486,2841,430
1486,23590,430
2841,23590,430
90,3168,445
90,1379,445
3168,1379,445
618,1379,458
618,2100,458
1379,2100,458
161,1432,460
166,1391,462
166,7608,462
166,9533,462
1391,7608,462
1391,9533,462
7608,9533,462
48511,70586,476
167,7322,479
288,3197,1794
288,1379,1794
3197,1379,1794
1322,9383,1808
185,41136,1809
1323,359,1810
1323,7780,1810
359,7780,1810
40,336,1820
292,2268,1822
292,10182,1823
292,221,1823
10182,221,1823
292,2884,1828
292,32440,1830
2219,11737,1831
2220,73440,1833
292,15302,1834
292,13080,1835
980,1530,1837
980,16204,1840
314,980,1844
981,982,1849
216,8972,1869
216,87048,1870
94,35,1875
94,1391,1890
94,2775,1890
1391,2775,1890
706,5437,1895
1021,664,1907
1021,1844,1909
1021,1434,1909
1844,1434,1909
1021,9032,1910
27,1454,1922
48,11483,1928
290,9982,1931
290,1379,1931
9982,1379,1931
290,909,1932
290,6161,1932
909,6161,1932
290,9670,1933
290,11815,1935
290,2130,1935
290,9107,1935
11815,2130,1935
11815,9107,1935
2130,9107,1935
290,7702,1938
290,36126,1942
2167,2165,1943
48750,2168,1944
48750,2165,1944
2168,2165,1944
30818,30834,1945
2167,48750,1947
41,1640,17677
673,675,17678
673,2574,17678
675,2574,17678
1346,3442,17681
1346,34043,17681
3442,34043,17681
307,1445,17683
307,2728,17683
1445,2728,17683
440,1804,17684
440,13013,17684
440,32646,17684
440,14785,17684
440,5763,17684
440,112,17684
1804,13013,17684
1804,32646,17684
1804,14785,17684
1804,5763,17684
1804,112,17684
13013,32646,17684
13013,14785,17684
13013,5763,17684
13013,112,17684
32646,14785,17684
32646,5763,17684
